Order ID,Amount,Profit,Quantity,Category,Sub-Category,PaymentMode,State
B-25681,1096,658,7,Electronics,Electronic Games,COD,California
B-26055,5729,64,14,Furniture,Chairs,EMI,New Jersey
B-25955,2927,146,8,Furniture,Bookcases,EMI,North Dakota
B-26093,2847,712,8,Electronics,Printers,Credit Card,Iowa
B-25602,2617,1151,4,Electronics,Phones,Credit Card,Oregon
B-25881,2244,247,4,Clothing,Trousers,Credit Card,New York
B-25696,275,-275,4,Clothing,Saree,COD,Missouri
B-25687,387,-213,5,Clothing,Saree,UPI,North Dakota
B-25643,50,-44,2,Clothing,Hankerchief,UPI,Ohio
B-25851,135,-54,5,Clothing,Kurti,COD,Missouri
B-25703,231,-190,9,Clothing,Hankerchief,COD,Idaho
B-25887,2125,-234,6,Electronics,Printers,EMI,Colorado
B-25923,3873,-891,6,Electronics,Phones,Credit Card,Virginia
B-25756,729,-492,5,Furniture,Bookcases,UPI,North Dakota
B-25761,2188,1050,5,Furniture,Bookcases,Credit Card,Oklahoma
B-25655,6,-3,1,Clothing,Hankerchief,UPI,New Jersey
B-25786,1854,433,5,Furniture,Bookcases,Credit Card,North Dakota
B-26095,6,1,1,Clothing,Kurti,UPI,Minnesota
B-25853,2093,721,5,Furniture,Chairs,Credit Card,New Mexico
B-25735,7,-1,2,Clothing,Skirt,UPI,Florida
B-25910,1622,-624,5,Furniture,Tables,Credit Card,Utah
B-25950,1622,95,5,Electronics,Printers,Credit Card,Hawaii
B-25744,373,254,6,Electronics,Printers,UPI,Idaho
B-25845,82,-33,4,Clothing,Kurti,COD,Wyoming
B-26001,8,2,2,Clothing,Skirt,UPI,Indiana
B-25830,1954,782,3,Electronics,Phones,Credit Card,South Dakota
B-25842,1543,370,8,Electronics,Printers,Credit Card,Wyoming
B-25778,1506,-266,6,Electronics,Printers,Credit Card,Oregon
B-25686,1829,-56,6,Furniture,Tables,Credit Card,Montana
B-25754,9,-1,3,Clothing,Skirt,UPI,Tennessee
B-26048,1461,202,5,Furniture,Tables,EMI,Colorado
B-25816,391,113,8,Clothing,Stole,COD,Michigan
B-26022,1824,1303,8,Electronics,Phones,Credit Card,New Hampshire
B-25883,16,-15,4,Clothing,Hankerchief,UPI,Utah
B-26003,1745,122,2,Furniture,Tables,Credit Card,Florida
B-26097,663,-212,5,Electronics,Printers,UPI,Maryland
B-25710,10,-1,1,Clothing,Leggings,UPI,Texas
B-25797,1630,802,5,Furniture,Tables,EMI,New Mexico
B-25618,12,0,2,Clothing,Hankerchief,UPI,New Jersey
B-25723,12,-7,2,Clothing,Leggings,UPI,New York
B-25755,1709,564,3,Clothing,Trousers,Credit Card,Alabama
B-25788,12,3,1,Clothing,Stole,UPI,Georgia
B-25681,1625,-77,3,Electronics,Phones,EMI,Utah
B-25991,13,5,2,Clothing,Hankerchief,UPI,Iowa
B-25779,1361,980,3,Furniture,Tables,COD,Massachusetts
B-25909,1622,-448,3,Electronics,Phones,EMI,Mississippi
B-25943,1547,340,6,Electronics,Accessories,EMI,Alaska
B-25935,1657,460,4,Furniture,Chairs,Credit Card,Washington
B-25613,1603,0,9,Clothing,Saree,Credit Card,Arizona
B-25729,1549,-439,4,Electronics,Phones,Credit Card,West Virginia
B-25772,1183,106,4,Electronics,Printers,EMI,South Carolina
B-25655,74,-123,8,Clothing,Skirt,UPI,New York
B-25640,1499,239,13,Clothing,Saree,Credit Card,Colorado
B-25810,1120,199,6,Clothing,Saree,EMI,New Jersey
B-25801,15,-2,1,Clothing,T-shirt,Debit Card,Montana
B-26085,1487,624,3,Clothing,Trousers,Credit Card,Maryland
B-25868,1118,206,2,Furniture,Tables,Credit Card,Michigan
B-25714,11,-5,2,Clothing,Hankerchief,COD,West Virginia
B-25784,15,4,1,Clothing,Hankerchief,Debit Card,Tennessee
B-25608,1364,1864,5,Furniture,Tables,Credit Card,West Virginia
B-26051,1337,147,7,Electronics,Printers,Credit Card,Iowa
B-25900,15,2,1,Clothing,Leggings,Debit Card,Montana
B-25760,322,-193,5,Electronics,Printers,UPI,Delaware
B-25762,1316,527,7,Electronics,Electronic Games,Credit Card,Pennsylvania
B-25995,1314,342,3,Furniture,Bookcases,Credit Card,Mississippi
B-25965,17,7,3,Clothing,Hankerchief,Debit Card,New Mexico
B-25967,17,2,2,Clothing,Skirt,Debit Card,New Hampshire
B-25674,17,-12,5,Clothing,Skirt,Debit Card,Hawaii
B-25929,1308,536,3,Furniture,Bookcases,Credit Card,New Mexico
B-25777,1076,-38,4,Electronics,Printers,Credit Card,West Virginia
B-26006,1301,573,5,Electronics,Accessories,Credit Card,Montana
B-25697,1300,-16,8,Electronics,Printers,Credit Card,Delaware
B-25667,11,-2,4,Clothing,Hankerchief,COD,Oregon
B-25836,1298,65,9,Electronics,Printers,EMI,Rhode Island
B-25984,304,97,6,Clothing,Stole,UPI,Arizona
B-25728,1055,264,4,Electronics,Printers,EMI,Washington
B-25757,17,-13,4,Clothing,Skirt,Debit Card,Michigan
B-25957,147,73,3,Clothing,Stole,COD,Arizona
B-26061,965,-68,3,Electronics,Printers,COD,Kansas
B-25735,12,-2,3,Clothing,Hankerchief,COD,Washington
B-25616,14,-2,3,Clothing,Hankerchief,UPI,Idaho
B-25666,934,-916,7,Electronics,Electronic Games,COD,South Dakota
B-25675,929,-93,9,Clothing,Saree,COD,Vermont
B-26079,18,3,2,Clothing,Hankerchief,Debit Card,Maryland
B-25850,916,192,11,Electronics,Phones,COD,Utah
B-25693,76,-72,9,Clothing,Hankerchief,COD,Virginia
B-25852,869,67,4,Furniture,Tables,COD,Oklahoma
B-25860,112,24,3,Clothing,Kurti,COD,Nevada
B-25853,39,16,6,Clothing,Skirt,UPI,Oregon
B-25898,857,-274,2,Furniture,Tables,COD,Louisiana
B-26100,828,230,2,Furniture,Chairs,COD,North Dakota
B-25653,1279,-640,8,Electronics,Printers,EMI,Washington
B-25839,1250,486,7,Clothing,Saree,EMI,Massachusetts
B-25651,823,-18,7,Furniture,Chairs,COD,Washington
B-25957,1157,-13,9,Furniture,Bookcases,Credit Card,Montana
B-25704,126,-63,3,Electronics,Accessories,UPI,West Virginia
B-25730,1145,-706,3,Electronics,Phones,Credit Card,Alabama
B-26052,774,170,3,Electronics,Accessories,COD,Washington
B-25656,24,-1,2,Clothing,Hankerchief,COD,Michigan
B-26033,774,170,3,Electronics,Accessories,COD,South Carolina
B-25850,93,-1,2,Clothing,Hankerchief,COD,Minnesota
B-25945,765,-36,3,Electronics,Electronic Games,COD,New Mexico
B-26086,762,101,6,Electronics,Printers,COD,Vermont
B-25752,761,266,9,Electronics,Electronic Games,COD,Missouri
B-26098,96,-48,5,Clothing,Leggings,UPI,Pennsylvania
B-26067,1137,-14,7,Electronics,Printers,EMI,West Virginia
B-25730,18,8,2,Clothing,Hankerchief,Debit Card,Rhode Island
B-25986,749,-307,7,Furniture,Furnishings,COD,Nevada
B-26067,1120,199,6,Clothing,Saree,EMI,Maryland
B-25953,744,119,6,Electronics,Printers,COD,Wyoming
B-25952,14,0,4,Clothing,Hankerchief,UPI,Maryland
B-25903,19,8,2,Clothing,Hankerchief,Debit Card,New Mexico
B-25650,512,-225,5,Clothing,Saree,COD,Nevada
B-25970,742,198,2,Furniture,Bookcases,COD,New Jersey
B-26062,44,-40,3,Clothing,Stole,COD,Kansas
B-25643,1061,-36,8,Furniture,Bookcases,EMI,Mississippi
B-25632,19,-2,2,Clothing,Leggings,Debit Card,Massachusetts
B-25821,17,0,1,Clothing,Hankerchief,COD,Florida
B-25878,741,267,5,Furniture,Bookcases,COD,Missouri
B-25752,735,-235,6,Electronics,Printers,COD,Michigan
B-25750,19,-1,1,Clothing,Shirt,Debit Card,Florida
B-25657,1021,-48,4,Electronics,Electronic Games,EMI,Illinois
B-25787,556,-209,7,Clothing,Saree,COD,Illinois
B-25808,63,-17,6,Clothing,Leggings,COD,Michigan
B-25885,734,248,2,Furniture,Chairs,COD,Alaska
B-25778,933,166,5,Clothing,Saree,Credit Card,South Carolina
B-25759,20,-9,6,Clothing,Hankerchief,Debit Card,North Carolina
B-25747,877,395,2,Furniture,Bookcases,Credit Card,Texas
B-25878,719,303,6,Furniture,Chairs,COD,California
B-25603,12,1,2,Clothing,Hankerchief,COD,Louisiana
B-25691,714,56,4,Clothing,Saree,COD,Maryland
B-25607,50,-15,4,Clothing,Leggings,COD,Iowa
B-25708,709,-100,5,Electronics,Phones,COD,Utah
B-26021,21,-12,3,Clothing,Hankerchief,Debit Card,Nevada
B-25831,693,254,6,Clothing,Saree,COD,Alaska
B-25850,24,1,4,Clothing,Hankerchief,COD,Wisconsin
B-25670,24,1,2,Clothing,Hankerchief,UPI,Georgia
B-25852,24,1,2,Clothing,Hankerchief,COD,Washington
B-26029,21,10,1,Clothing,T-shirt,Debit Card,California
B-25959,681,259,4,Furniture,Chairs,COD,Wyoming
B-25676,674,-187,2,Furniture,Tables,COD,Connecticut
B-26097,671,-309,5,Electronics,Electronic Games,COD,North Carolina
B-25888,646,-213,3,Electronics,Electronic Games,COD,Louisiana
B-25911,40,15,1,Clothing,Kurti,COD,Missouri
B-25662,24,-2,2,Clothing,T-shirt,COD,Maryland
B-25950,644,167,2,Electronics,Printers,COD,Connecticut
B-25847,643,225,2,Electronics,Printers,COD,Wisconsin
B-25796,632,-316,6,Clothing,Saree,COD,Florida
B-25693,632,316,6,Clothing,Saree,COD,Minnesota
B-25993,610,208,3,Electronics,Printers,COD,Minnesota
B-26052,78,-28,6,Clothing,Kurti,UPI,Vermont
B-25930,595,119,4,Furniture,Bookcases,COD,South Carolina
B-25785,595,292,3,Clothing,Saree,COD,Washington
B-26093,852,51,5,Furniture,Bookcases,Credit Card,Wisconsin
B-26053,594,89,3,Furniture,Bookcases,COD,North Dakota
B-26019,585,175,13,Clothing,T-shirt,COD,Illinois
B-26070,582,262,5,Furniture,Furnishings,COD,Massachusetts
B-25870,845,84,7,Clothing,Saree,Credit Card,Arizona
B-25855,829,19,4,Electronics,Printers,Credit Card,Missouri
B-25602,561,212,3,Clothing,Saree,COD,Michigan
B-25728,771,-424,2,Electronics,Phones,Credit Card,Rhode Island
B-25803,765,8,6,Clothing,Saree,EMI,Texas
B-25996,31,2,2,Clothing,Hankerchief,COD,Massachusetts
B-26078,557,-111,2,Electronics,Electronic Games,COD,North Dakota
B-25803,757,371,2,Electronics,Printers,Credit Card,Georgia
B-25682,545,-73,11,Electronics,Phones,COD,Florida
B-25749,1052,-82,3,Furniture,Bookcases,UPI,Delaware
B-25962,544,-152,3,Furniture,Bookcases,COD,Kansas
B-25899,22,9,2,Clothing,Leggings,Debit Card,Wyoming
B-25845,757,371,2,Electronics,Printers,Credit Card,Oklahoma
B-25951,742,198,2,Furniture,Bookcases,Credit Card,Vermont
B-25828,537,107,3,Clothing,Saree,COD,Indiana
B-25803,536,91,1,Clothing,Trousers,COD,Virginia
B-25656,6,3,1,Clothing,Hankerchief,COD,Nebraska
B-25681,523,204,7,Clothing,Trousers,COD,South Carolina
B-25658,27,9,2,Clothing,T-shirt,UPI,Michigan
B-25698,516,392,8,Furniture,Chairs,COD,North Carolina
B-25832,504,116,3,Furniture,Bookcases,COD,Montana
B-25886,502,84,4,Electronics,Phones,COD,New Mexico
B-25897,734,213,6,Electronics,Electronic Games,Credit Card,West Virginia
B-25873,42,12,2,Clothing,Kurti,COD,Michigan
B-25858,29,11,4,Clothing,Skirt,COD,Hawaii
B-25867,240,12,6,Clothing,Kurti,UPI,Kansas
B-25633,496,-79,2,Clothing,Trousers,COD,Kansas
B-25609,485,29,4,Electronics,Electronic Games,COD,Louisiana
B-25896,31,-11,3,Clothing,Skirt,UPI,Indiana
B-26000,676,151,3,Electronics,Printers,Credit Card,Hawaii
B-25959,23,8,2,Clothing,Hankerchief,Debit Card,Washington
B-25940,13,3,2,Clothing,Hankerchief,COD,Connecticut
B-26087,180,0,8,Clothing,Stole,COD,Indiana
B-26055,671,114,9,Electronics,Phones,Credit Card,Oregon
B-25980,22,11,3,Clothing,Kurti,COD,Idaho
B-25653,668,-31,3,Electronics,Printers,Credit Card,Iowa
B-26052,145,0,3,Clothing,Saree,UPI,Florida
B-25877,24,8,2,Clothing,Skirt,Debit Card,New Hampshire
B-25608,476,0,3,Furniture,Chairs,COD,Illinois
B-25897,24,11,5,Clothing,Hankerchief,Debit Card,Michigan
B-25881,37,3,3,Clothing,Hankerchief,COD,Indiana
B-25905,152,50,6,Clothing,Stole,UPI,Iowa
B-25818,32,11,2,Clothing,Leggings,UPI,Indiana
B-25835,52,11,5,Clothing,Leggings,COD,Tennessee
B-26081,24,11,3,Clothing,Hankerchief,Debit Card,Arkansas
B-25730,473,42,4,Furniture,Chairs,COD,West Virginia
B-25837,263,50,5,Clothing,Stole,COD,Alabama
B-25893,61,11,3,Clothing,Kurti,COD,Louisiana
B-25689,469,-459,3,Electronics,Electronic Games,COD,Oregon
B-26028,1272,547,2,Electronics,Phones,COD,Connecticut
B-26081,169,0,3,Electronics,Accessories,COD,Iowa
B-25903,25,11,3,Clothing,Leggings,Debit Card,Vermont
B-25651,457,-41,4,Clothing,Saree,COD,New York
B-25903,455,77,8,Electronics,Accessories,COD,North Dakota
B-26086,25,2,2,Clothing,Hankerchief,Debit Card,Mississippi
B-25654,450,-90,3,Electronics,Printers,COD,Tennessee
B-25720,30,-35,1,Furniture,Chairs,COD,Idaho
B-26057,659,-37,2,Furniture,Bookcases,Credit Card,New York
B-25798,448,148,2,Electronics,Printers,COD,Arkansas
B-25961,446,53,3,Electronics,Printers,COD,Kentucky
B-25701,98,-45,2,Furniture,Chairs,UPI,Hawaii
B-26055,443,11,1,Clothing,Saree,COD,Wyoming
B-25653,427,-50,7,Electronics,Phones,COD,Massachusetts
B-25670,656,-36,2,Furniture,Bookcases,Credit Card,Maryland
B-26056,424,161,2,Clothing,Saree,COD,Utah
B-26061,27,8,2,Clothing,T-shirt,Debit Card,California
B-25602,424,-272,5,Electronics,Phones,COD,Ohio
B-26016,202,4,4,Clothing,Hankerchief,COD,Kansas
B-25873,1275,357,2,Electronics,Phones,UPI,Maine
B-25761,418,70,7,Electronics,Phones,COD,West Virginia
B-25819,417,49,3,Electronics,Electronic Games,COD,Maine
B-25853,199,48,4,Clothing,Stole,UPI,Georgia
B-25662,385,-77,11,Furniture,Furnishings,UPI,Delaware
B-25993,414,199,3,Electronics,Phones,COD,New Mexico
B-25703,97,-45,4,Clothing,Saree,COD,Kansas
B-25848,648,50,6,Electronics,Electronic Games,Credit Card,Iowa
B-25678,27,-25,2,Clothing,Shirt,Debit Card,Alabama
B-25925,27,12,1,Clothing,Stole,Debit Card,New Jersey
B-25977,27,1,1,Clothing,Stole,UPI,Wyoming
B-25797,413,-314,9,Furniture,Chairs,COD,Kansas
B-26067,53,2,4,Clothing,Hankerchief,COD,Iowa
B-25810,29,8,5,Clothing,Hankerchief,UPI,Arizona
B-25648,30,13,1,Clothing,T-shirt,UPI,Virginia
B-25933,412,412,6,Clothing,Saree,COD,Hawaii
B-25942,646,-23,2,Electronics,Printers,Credit Card,Idaho
B-25656,30,-5,5,Clothing,Stole,UPI,Kansas
B-26067,618,27,4,Furniture,Bookcases,Credit Card,California
B-25673,143,-124,5,Clothing,Saree,UPI,Kentucky
B-25797,31,1,2,Clothing,Hankerchief,UPI,New York
B-26098,409,86,3,Clothing,Saree,COD,Iowa
B-25656,406,126,2,Clothing,Saree,COD,Alabama
B-25791,565,66,7,Clothing,Saree,Credit Card,South Dakota
B-26053,85,2,6,Clothing,Stole,COD,Delaware
B-25983,561,118,5,Furniture,Bookcases,Credit Card,Texas
B-25743,503,-56,2,Clothing,Trousers,COD,West Virginia
B-25867,31,14,3,Clothing,Stole,UPI,Alaska
B-25973,398,111,8,Clothing,Hankerchief,COD,Florida
B-25895,388,93,2,Furniture,Bookcases,COD,Rhode Island
B-26003,498,-116,4,Clothing,Saree,UPI,Arizona
B-25717,561,212,3,Clothing,Saree,Credit Card,Massachusetts
B-26064,61,3,4,Clothing,Hankerchief,COD,Alabama
B-25630,34,-22,4,Clothing,T-shirt,COD,New Hampshire
B-26050,32,6,3,Clothing,Shirt,UPI,North Carolina
B-25786,623,-192,3,Furniture,Tables,UPI,Minnesota
B-26035,520,151,3,Electronics,Phones,Credit Card,Michigan
B-25693,32,-16,6,Clothing,Saree,UPI,Michigan
B-25703,32,-5,5,Clothing,Hankerchief,UPI,Illinois
B-25966,510,234,6,Electronics,Electronic Games,EMI,Montana
B-26060,382,68,3,Clothing,Saree,COD,Vermont
B-25898,33,13,3,Clothing,Leggings,UPI,Mississippi
B-25686,381,-13,2,Clothing,Saree,COD,Connecticut
B-26051,490,88,2,Electronics,Accessories,EMI,New Jersey
B-25854,381,144,2,Clothing,Saree,COD,North Dakota
B-26050,487,143,4,Electronics,Phones,EMI,Delaware
B-25961,366,84,3,Furniture,Bookcases,COD,Missouri
B-25701,33,-29,3,Clothing,Shirt,UPI,Montana
B-25970,365,107,3,Electronics,Phones,COD,Pennsylvania
B-25933,207,-100,2,Clothing,Saree,UPI,Nebraska
B-26081,359,-338,5,Furniture,Bookcases,COD,North Carolina
B-25650,351,-47,8,Electronics,Phones,COD,South Carolina
B-25850,485,199,4,Clothing,Saree,EMI,South Carolina
B-25643,37,-23,4,Clothing,Shirt,UPI,Massachusetts
B-26100,34,10,2,Clothing,T-shirt,Debit Card,Idaho
B-25964,346,108,3,Furniture,Chairs,COD,Delaware
B-25676,342,-103,4,Electronics,Electronic Games,COD,Pennsylvania
B-25628,35,-8,2,Furniture,Furnishings,Debit Card,Hawaii
B-25891,121,41,4,Clothing,Stole,UPI,Nevada
B-25903,336,57,2,Electronics,Phones,COD,Ohio
B-25851,336,71,3,Furniture,Bookcases,COD,South Carolina
B-26089,27,4,1,Clothing,Hankerchief,COD,Pennsylvania
B-25996,333,50,2,Electronics,Phones,COD,Tennessee
B-25881,36,7,3,Clothing,Leggings,Debit Card,Iowa
B-25621,333,-15,3,Electronics,Phones,COD,Montana
B-25727,327,114,4,Clothing,Trousers,COD,Kansas
B-25843,18,6,3,Clothing,Hankerchief,UPI,Missouri
B-26050,325,32,7,Clothing,T-shirt,COD,Massachusetts
B-25741,482,-6,7,Electronics,Electronic Games,EMI,Maryland
B-25756,465,-33,4,Electronics,Phones,EMI,Maryland
B-25787,40,-12,3,Clothing,Shirt,COD,Utah
B-25603,107,36,6,Clothing,Stole,COD,New York
B-25655,312,-312,7,Furniture,Chairs,COD,Wisconsin
B-26096,451,25,3,Electronics,Phones,EMI,South Dakota
B-25962,312,62,1,Electronics,Electronic Games,COD,Kentucky
B-26007,311,72,2,Furniture,Bookcases,COD,Arkansas
B-26088,11,5,2,Clothing,Hankerchief,UPI,Utah
B-25673,37,-5,3,Clothing,T-shirt,Debit Card,Michigan
B-25664,444,-200,4,Electronics,Phones,EMI,Louisiana
B-25642,434,26,11,Clothing,Shirt,Credit Card,South Carolina
B-25987,299,0,6,Clothing,Stole,COD,Mississippi
B-25903,37,17,3,Clothing,Hankerchief,Debit Card,Kansas
B-25770,299,113,2,Furniture,Bookcases,COD,Delaware
B-25840,298,74,2,Furniture,Bookcases,COD,South Carolina
B-25846,94,7,7,Clothing,Leggings,UPI,North Carolina
B-25745,296,225,11,Clothing,Saree,COD,Montana
B-26073,37,17,3,Clothing,Hankerchief,Debit Card,New York
B-26030,291,93,2,Electronics,Printers,COD,Nevada
B-25678,327,-39,1,Electronics,Phones,COD,California
B-26035,291,119,11,Clothing,Saree,COD,Nebraska
B-25896,287,-66,6,Clothing,Kurti,COD,Arizona
B-25989,42,15,1,Electronics,Accessories,UPI,West Virginia
B-26016,429,61,3,Electronics,Electronic Games,Credit Card,South Dakota
B-26009,285,128,2,Electronics,Printers,COD,Oklahoma
B-25915,277,3,1,Electronics,Electronic Games,COD,Vermont
B-25845,274,-7,4,Electronics,Phones,COD,Arizona
B-25645,273,-87,4,Electronics,Phones,COD,Indiana
B-25803,269,91,1,Electronics,Electronic Games,COD,California
B-26030,11,5,1,Clothing,Skirt,COD,Michigan
B-25955,39,2,2,Clothing,Saree,Debit Card,Wyoming
B-26096,264,-26,3,Clothing,Trousers,COD,Alaska
B-25635,40,16,3,Clothing,Hankerchief,Debit Card,Alaska
B-26038,41,19,2,Clothing,T-shirt,Debit Card,Maine
B-25791,253,-63,2,Clothing,Saree,UPI,Utah
B-26014,406,97,7,Furniture,Chairs,Credit Card,New Jersey
B-25751,32,7,3,Clothing,Hankerchief,COD,Missouri
B-25962,260,68,2,Electronics,Printers,COD,Idaho
B-26025,41,19,5,Clothing,Hankerchief,Debit Card,Illinois
B-26048,401,13,6,Furniture,Chairs,Credit Card,Kansas
B-25635,382,30,3,Clothing,Saree,Credit Card,Missouri
B-25981,867,251,5,Electronics,Phones,COD,Florida
B-25610,43,0,3,Clothing,Saree,Debit Card,Pennsylvania
B-25733,43,-43,7,Clothing,Stole,Debit Card,Pennsylvania
B-25977,74,29,3,Clothing,Stole,COD,Mississippi
B-25655,44,-26,3,Clothing,Hankerchief,Debit Card,Ohio
B-25612,259,-55,2,Furniture,Chairs,COD,Mississippi
B-25608,257,23,5,Clothing,Hankerchief,COD,Iowa
B-25752,76,27,5,Clothing,Stole,COD,Illinois
B-25700,44,-32,3,Clothing,Stole,Debit Card,North Dakota
B-25856,257,3,2,Clothing,Saree,COD,Connecticut
B-26026,255,76,9,Clothing,Hankerchief,COD,South Carolina
B-25861,44,14,3,Clothing,Hankerchief,Debit Card,Minnesota
B-25673,45,-2,4,Clothing,Shirt,COD,Michigan
B-25681,44,-3,1,Clothing,Saree,Debit Card,Delaware
B-26051,382,119,2,Clothing,Saree,Credit Card,North Carolina
B-25951,250,100,3,Clothing,Trousers,COD,Alabama
B-25799,45,-15,2,Furniture,Chairs,COD,Florida
B-26053,246,61,2,Furniture,Bookcases,COD,New Hampshire
B-26030,50,25,5,Clothing,Stole,COD,South Dakota
B-26054,246,98,5,Clothing,Hankerchief,COD,Michigan
B-25696,44,99,3,Clothing,Kurti,Debit Card,Mississippi
B-25660,245,-78,3,Clothing,Saree,COD,South Carolina
B-25858,245,30,2,Clothing,Saree,COD,Nebraska
B-26045,376,0,7,Clothing,Stole,Credit Card,Florida
B-25850,45,1,3,Clothing,T-shirt,Debit Card,Massachusetts
B-25781,45,-28,2,Clothing,Stole,Debit Card,Utah
B-25918,244,-122,5,Furniture,Furnishings,COD,New York
B-25971,244,83,2,Furniture,Bookcases,COD,South Dakota
B-25870,10,4,1,Clothing,Kurti,UPI,North Carolina
